2018-12-14 07:42:27.632080 HST-1000 | $RXPNS,B,0,G,8858*7F
2018-12-14 07:42:28.636187 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:42:29.640008 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:42:30.644331 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:42:31.648478 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:42:32.653795 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:42:34.158742 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:42:35.164871 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:42:36.166900 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:42:37.170941 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:42:38.175031 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:42:39.179138 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:42:40.183174 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:42:41.692052 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:42:42.693540 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:42:43.697483 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:42:44.701624 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:42:45.705675 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:42:46.709775 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:42:47.713845 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:42:49.220033 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:42:50.224161 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:42:51.240663 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:42:52.232342 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:42:53.251155 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:42:54.240876 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:42:55.244732 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:42:56.750730 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:42:57.754936 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:42:58.758927 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:42:59.763063 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:43:00.767190 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:43:01.771232 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:43:02.775340 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:43:04.281471 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:43:05.285545 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:43:06.290293 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:43:07.293791 HST-1000 | $RXPNS,B,0,G,8910*72
2018-12-14 07:43:08.373232 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:43:09.321646 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:43:10.306001 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:43:11.812231 HST-1000 | $RXPNS,B,0,G,8875*70
2018-12-14 07:43:12.816292 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:43:13.822094 HST-1000 | $RXPNS,B,0,G,8893*78
2018-12-14 07:43:14.824495 HST-1000 | $RXPNS,B,0,G,8893*78
