2018-12-14 08:54:52.773996 HST-1000 | 192.168.1.25 | $RXHRB,141218,035135,21.3100039356,S,-157.88896543,W,GATR,2,1*67
2018-12-14 08:54:53.749643 HST-1000 | 192.168.1.25 | $RXHRB,141218,035136,21.3100039356,S,-157.88896543,W,GATR,2,1*64
2018-12-14 08:54:54.758981 HST-1000 | 192.168.1.25 | $RXHRB,141218,035137,21.310005456,S,-157.888963616,W,GATR,2,1*6D
2018-12-14 08:54:55.764236 HST-1000 | 192.168.1.25 | $RXHRB,141218,035138,21.310005456,S,-157.888963616,W,GATR,2,1*62
2018-12-14 08:54:56.768059 HST-1000 | 192.168.1.25 | $RXHRB,141218,035139,21.310005456,S,-157.888963616,W,GATR,2,1*63
2018-12-14 08:54:57.770074 HST-1000 | 192.168.1.25 | $RXHRB,141218,035140,21.310005456,S,-157.888963616,W,GATR,2,1*6D
2018-12-14 08:54:58.770053 HST-1000 | 192.168.1.25 | $RXHRB,141218,035141,21.310005456,S,-157.888963616,W,GATR,2,1*6C
2018-12-14 08:54:59.766111 HST-1000 | 192.168.1.25 | $RXHRB,141218,035142,21.310005456,S,-157.888963616,W,GATR,2,1*6F
2018-12-14 08:55:00.741495 HST-1000 | 192.168.1.25 | $RXHRB,141218,035143,21.310005456,S,-157.888963616,W,GATR,2,1*6E
2018-12-14 08:55:01.743223 HST-1000 | 192.168.1.25 | $RXHRB,141218,035144,21.310005456,S,-157.888963616,W,GATR,2,1*69
2018-12-14 08:55:02.698260 HST-1000 | 192.168.1.25 | $RXHRB,141218,035145,21.310005456,S,-157.888963616,W,GATR,2,1*68
2018-12-14 08:55:03.768605 HST-1000 | 192.168.1.25 | $RXHRB,141218,035146,21.310005456,S,-157.888963616,W,GATR,2,1*6B
2018-12-14 08:55:04.766065 HST-1000 | 192.168.1.25 | $RXHRB,141218,035147,21.310005456,S,-157.888963616,W,GATR,2,1*6A
2018-12-14 08:55:05.790804 HST-1000 | 192.168.1.25 | $RXHRB,141218,035148,21.310005456,S,-157.888963616,W,GATR,2,1*65
2018-12-14 08:55:06.769464 HST-1000 | 192.168.1.25 | $RXHRB,141218,035149,21.310005456,S,-157.888963616,W,GATR,2,1*64
2018-12-14 08:55:07.776819 HST-1000 | 192.168.1.25 | $RXHRB,141218,035150,21.310005456,S,-157.888963616,W,GATR,2,1*6C
2018-12-14 08:55:08.786420 HST-1000 | 192.168.1.25 | $RXHRB,141218,035151,21.310005456,S,-157.888963616,W,GATR,2,1*6D
2018-12-14 08:55:09.779175 HST-1000 | 192.168.1.25 | $RXHRB,141218,035152,21.310005456,S,-157.888963616,W,GATR,2,1*6E
2018-12-14 08:55:10.768320 HST-1000 | 192.168.1.25 | $RXHRB,141218,035153,21.310005456,S,-157.888963616,W,GATR,2,1*6F
2018-12-14 08:55:11.769078 HST-1000 | 192.168.1.25 | $RXHRB,141218,035154,21.310005456,S,-157.888963616,W,GATR,2,1*68
2018-12-14 08:55:12.770966 HST-1000 | 192.168.1.25 | $RXHRB,141218,035155,21.310005456,S,-157.888963616,W,GATR,2,1*69
2018-12-14 08:55:13.781922 HST-1000 | 192.168.1.25 | $RXHRB,141218,035156,21.310005456,S,-157.888963616,W,GATR,2,1*6A
2018-12-14 08:55:14.775821 HST-1000 | 192.168.1.25 | $RXHRB,141218,035157,21.310005456,S,-157.888963616,W,GATR,2,1*6B
2018-12-14 08:55:15.781219 HST-1000 | 192.168.1.25 | $RXHRB,141218,035158,21.310005456,S,-157.888963616,W,GATR,2,1*64
2018-12-14 08:55:16.762605 HST-1000 | 192.168.1.25 | $RXHRB,141218,035159,21.310005456,S,-157.888963616,W,GATR,2,1*65
2018-12-14 08:55:17.759341 HST-1000 | 192.168.1.25 | $RXHRB,141218,035200,21.310005456,S,-157.888963616,W,GATR,2,1*6A
2018-12-14 08:55:18.772264 HST-1000 | 192.168.1.25 | $RXHRB,141218,035201,21.310005456,S,-157.888963616,W,GATR,2,1*6B
2018-12-14 08:55:19.773081 HST-1000 | 192.168.1.25 | $RXHRB,141218,035202,21.310005456,S,-157.888963616,W,GATR,2,1*68
2018-12-14 08:55:20.769612 HST-1000 | 192.168.1.25 | $RXHRB,141218,035203,21.310005456,S,-157.888963616,W,GATR,2,1*69
2018-12-14 08:55:21.761281 HST-1000 | 192.168.1.25 | $RXHRB,141218,035204,21.310005456,S,-157.888963616,W,GATR,2,1*6E
2018-12-14 08:55:22.767661 HST-1000 | 192.168.1.25 | $RXHRB,141218,035205,21.310005456,S,-157.888963616,W,GATR,2,1*6F
2018-12-14 08:55:23.763128 HST-1000 | 192.168.1.25 | $RXHRB,141218,035206,21.310005456,S,-157.888963616,W,GATR,2,1*6C
2018-12-14 08:55:24.766029 HST-1000 | 192.168.1.25 | $RXHRB,141218,035207,21.310005456,S,-157.888963616,W,GATR,2,1*6D
2018-12-14 08:55:25.771431 HST-1000 | 192.168.1.25 | $RXHRB,141218,035208,21.310005456,S,-157.888963616,W,GATR,2,1*62
2018-12-14 08:55:26.779422 HST-1000 | 192.168.1.25 | $RXHRB,141218,035209,21.310005456,S,-157.888963616,W,GATR,2,1*63
2018-12-14 08:55:27.784384 HST-1000 | 192.168.1.25 | $RXHRB,141218,035210,21.310005456,S,-157.888963616,W,GATR,2,1*6B
2018-12-14 08:55:28.775903 HST-1000 | 192.168.1.25 | $RXHRB,141218,035211,21.310005456,S,-157.888963616,W,GATR,2,1*6A
2018-12-14 08:55:29.739782 HST-1000 | 192.168.1.25 | $RXHRB,141218,035212,21.310005456,S,-157.888963616,W,GATR,2,1*69
2018-12-14 08:55:30.749450 HST-1000 | 192.168.1.25 | $RXHRB,141218,035213,21.310005456,S,-157.888963616,W,GATR,2,1*68
2018-12-14 08:55:31.750924 HST-1000 | 192.168.1.25 | $RXHRB,141218,035214,21.310005456,S,-157.888963616,W,GATR,2,1*6F
2018-12-14 08:55:32.763554 HST-1000 | 192.168.1.25 | $RXHRB,141218,035215,21.310005456,S,-157.888963616,W,GATR,2,1*6E
2018-12-14 08:55:33.750721 HST-1000 | 192.168.1.25 | $RXHRB,141218,035216,21.3100039356,S,-157.88896543,W,GATR,2,1*65
2018-12-14 08:55:34.761314 HST-1000 | 192.168.1.25 | $RXHRB,141218,035217,21.3100039356,S,-157.88896543,W,GATR,2,1*64
2018-12-14 08:55:35.775083 HST-1000 | 192.168.1.25 | $RXHRB,141218,035218,21.3100039356,S,-157.88896543,W,GATR,2,1*6B
2018-12-14 08:55:36.862166 HST-1000 | 192.168.1.25 | $RXHRB,141218,035219,21.3100039356,S,-157.88896543,W,GATR,2,1*6A
2018-12-14 08:55:37.753378 HST-1000 | 192.168.1.25 | $RXHRB,141218,035220,21.3100039356,S,-157.88896543,W,GATR,2,1*60
2018-12-14 08:55:38.764914 HST-1000 | 192.168.1.25 | $RXHRB,141218,035221,21.3100039356,S,-157.88896543,W,GATR,2,1*61
2018-12-14 08:55:39.757926 HST-1000 | 192.168.1.25 | $RXHRB,141218,035222,21.3100039356,S,-157.88896543,W,GATR,2,1*62
2018-12-14 08:55:40.764501 HST-1000 | 192.168.1.25 | $RXHRB,141218,035223,21.3100039356,S,-157.88896543,W,GATR,2,1*63
2018-12-14 08:55:41.781085 HST-1000 | 192.168.1.25 | $RXHRB,141218,035224,21.310005456,S,-157.888963616,W,GATR,2,1*6C
2018-12-14 08:55:42.773465 HST-1000 | 192.168.1.25 | $RXHRB,141218,035225,21.3100039356,S,-157.88896543,W,GATR,2,1*65
2018-12-14 08:55:43.768241 HST-1000 | 192.168.1.25 | $RXHRB,141218,035226,21.3100039356,S,-157.88896543,W,GATR,2,1*66
2018-12-14 08:55:44.761201 HST-1000 | 192.168.1.25 | $RXHRB,141218,035227,21.310005456,S,-157.888963616,W,GATR,2,1*6F
2018-12-14 08:55:45.769364 HST-1000 | 192.168.1.25 | $RXHRB,141218,035228,21.310005456,S,-157.888963616,W,GATR,2,1*60
2018-12-14 08:55:46.779852 HST-1000 | 192.168.1.25 | $RXHRB,141218,035229,21.310005456,S,-157.888963616,W,GATR,2,1*61
2018-12-14 08:55:47.782934 HST-1000 | 192.168.1.25 | $RXHRB,141218,035230,21.3100039356,S,-157.88896543,W,GATR,2,1*61
2018-12-14 08:55:48.762501 HST-1000 | 192.168.1.25 | $RXHRB,141218,035231,21.310005456,S,-157.888963616,W,GATR,2,1*68
2018-12-14 08:55:49.773929 HST-1000 | 192.168.1.25 | $RXHRB,141218,035232,21.3100039356,S,-157.88896543,W,GATR,2,1*63
2018-12-14 08:55:50.779158 HST-1000 | 192.168.1.25 | $RXHRB,141218,035233,21.310005456,S,-157.888963616,W,GATR,2,1*6A
2018-12-14 08:55:51.746363 HST-1000 | 192.168.1.25 | $RXHRB,141218,035234,21.310005456,S,-157.888963616,W,GATR,2,1*6D
2018-12-14 08:55:52.765473 HST-1000 | 192.168.1.25 | $RXHRB,141218,035235,21.310005456,S,-157.888963616,W,GATR,2,1*6C
2018-12-14 08:55:53.772943 HST-1000 | 192.168.1.25 | $RXHRB,141218,035236,21.310005456,S,-157.888963616,W,GATR,2,1*6F
2018-12-14 08:55:54.768236 HST-1000 | 192.168.1.25 | $RXHRB,141218,035237,21.3100039356,S,-157.88896543,W,GATR,2,1*66
2018-12-14 08:55:55.796808 HST-1000 | 192.168.1.25 | $RXHRB,141218,035238,21.3100039356,S,-157.88896543,W,GATR,2,1*69
2018-12-14 08:55:56.750654 HST-1000 | 192.168.1.25 | $RXHRB,141218,035239,21.3100039356,S,-157.88896543,W,GATR,2,1*68
2018-12-14 08:55:57.761223 HST-1000 | 192.168.1.25 | $RXHRB,141218,035240,21.3100039356,S,-157.88896543,W,GATR,2,1*66
2018-12-14 08:55:58.778544 HST-1000 | 192.168.1.25 | $RXHRB,141218,035241,21.3100039356,S,-157.88896543,W,GATR,2,1*67
2018-12-14 08:55:59.792454 HST-1000 | 192.168.1.25 | $RXHRB,141218,035242,21.3100039356,S,-157.88896543,W,GATR,2,1*64
2018-12-14 08:56:00.809184 HST-1000 | 192.168.1.25 | $RXHRB,141218,035243,21.3100039356,S,-157.88896543,W,GATR,2,1*65
2018-12-14 08:56:01.772380 HST-1000 | 192.168.1.25 | $RXHRB,141218,035244,21.3100039356,S,-157.88896543,W,GATR,2,1*62
2018-12-14 08:56:02.771729 HST-1000 | 192.168.1.25 | $RXHRB,141218,035245,21.3100039356,S,-157.88896543,W,GATR,2,1*63
2018-12-14 08:56:03.774493 HST-1000 | 192.168.1.25 | $RXHRB,141218,035246,21.3100039356,S,-157.88896543,W,GATR,2,1*60
2018-12-14 08:56:04.764988 HST-1000 | 192.168.1.25 | $RXHRB,141218,035247,21.3100039356,S,-157.88896543,W,GATR,2,1*61
2018-12-14 08:56:05.770792 HST-1000 | 192.168.1.25 | $RXHRB,141218,035248,21.3100060391,S,-157.88896543,W,GATR,2,1*69
2018-12-14 08:56:06.782578 HST-1000 | 192.168.1.25 | $RXHRB,141218,035249,21.3100039356,S,-157.88896543,W,GATR,2,1*6F
2018-12-14 08:56:07.783104 HST-1000 | 192.168.1.25 | $RXHRB,141218,035250,21.3100039356,S,-157.88896543,W,GATR,2,1*67
2018-12-14 08:56:08.782846 HST-1000 | 192.168.1.25 | $RXHRB,141218,035251,21.3100039356,S,-157.88896543,W,GATR,2,1*66
2018-12-14 08:56:09.759930 HST-1000 | 192.168.1.25 | $RXHRB,141218,035252,21.3100039356,S,-157.88896543,W,GATR,2,1*65
2018-12-14 08:56:10.767812 HST-1000 | 192.168.1.25 | $RXHRB,141218,035253,21.3100039356,S,-157.88896543,W,GATR,2,1*64
2018-12-14 08:56:11.788656 HST-1000 | 192.168.1.25 | $RXHRB,141218,035254,21.3100039356,S,-157.88896543,W,GATR,2,1*63
2018-12-14 08:56:12.781186 HST-1000 | 192.168.1.25 | $RXHRB,141218,035255,21.3100060391,S,-157.88896543,W,GATR,2,1*65
2018-12-14 08:56:13.779854 HST-1000 | 192.168.1.25 | $RXHRB,141218,035256,21.3100060391,S,-157.88896543,W,GATR,2,1*66
2018-12-14 08:56:14.761247 HST-1000 | 192.168.1.25 | $RXHRB,141218,035257,21.3100060391,S,-157.88896543,W,GATR,2,1*67
2018-12-14 08:56:15.773431 HST-1000 | 192.168.1.25 | $RXHRB,141218,035258,21.3100060391,S,-157.88896543,W,GATR,2,1*68
2018-12-14 08:56:16.767919 HST-1000 | 192.168.1.25 | $RXHRB,141218,035259,21.3100060391,S,-157.88896543,W,GATR,2,1*69
2018-12-14 08:56:17.778330 HST-1000 | 192.168.1.25 | $RXHRB,141218,035300,21.3100060391,S,-157.88896543,W,GATR,2,1*64
2018-12-14 08:56:18.774639 HST-1000 | 192.168.1.25 | $RXHRB,141218,035301,21.3100060391,S,-157.88896543,W,GATR,2,1*65
2018-12-14 08:56:19.781565 HST-1000 | 192.168.1.25 | $RXHRB,141218,035302,21.3100060391,S,-157.88896543,W,GATR,2,1*66
2018-12-14 08:56:20.778218 HST-1000 | 192.168.1.25 | $RXHRB,141218,035303,21.3100060391,S,-157.88896543,W,GATR,2,1*67
2018-12-14 08:56:21.762943 HST-1000 | 192.168.1.25 | $RXHRB,141218,035304,21.3100060391,S,-157.88896543,W,GATR,2,1*60
2018-12-14 08:56:22.775383 HST-1000 | 192.168.1.25 | $RXHRB,141218,035305,21.3100060391,S,-157.88896543,W,GATR,2,1*61
2018-12-14 08:56:23.780939 HST-1000 | 192.168.1.25 | $RXHRB,141218,035306,21.3100060391,S,-157.88896543,W,GATR,2,1*62
2018-12-14 08:56:24.782447 HST-1000 | 192.168.1.25 | $RXHRB,141218,035307,21.3100060391,S,-157.88896543,W,GATR,2,1*63
2018-12-14 08:56:25.777078 HST-1000 | 192.168.1.25 | $RXHRB,141218,035308,21.3100060391,S,-157.88896543,W,GATR,2,1*6C
2018-12-14 08:56:26.773075 HST-1000 | 192.168.1.25 | $RXHRB,141218,035309,21.3100060391,S,-157.88896543,W,GATR,2,1*6D
2018-12-14 08:56:27.778379 HST-1000 | 192.168.1.25 | $RXHRB,141218,035310,21.3100039356,S,-157.88896543,W,GATR,2,1*62
2018-12-14 08:56:28.785775 HST-1000 | 192.168.1.25 | $RXHRB,141218,035311,21.3100060391,S,-157.88896543,W,GATR,2,1*64
2018-12-14 08:56:29.767025 HST-1000 | 192.168.1.25 | $RXHRB,141218,035312,21.3100060391,S,-157.88896543,W,GATR,2,1*67
2018-12-14 08:56:30.782731 HST-1000 | 192.168.1.25 | $RXHRB,141218,035313,21.3100060391,S,-157.88896543,W,GATR,2,1*66
2018-12-14 08:56:31.780235 HST-1000 | 192.168.1.25 | $RXHRB,141218,035314,21.3100060391,S,-157.88896543,W,GATR,2,1*61
2018-12-14 08:56:32.794755 HST-1000 | 192.168.1.25 | $RXHRB,141218,035315,21.3100060391,S,-157.88896543,W,GATR,2,1*60
2018-12-14 08:56:33.780423 HST-1000 | 192.168.1.25 | $RXHRB,141218,035316,21.3100060391,S,-157.88896543,W,GATR,2,1*63
2018-12-14 08:56:34.781599 HST-1000 | 192.168.1.25 | $RXHRB,141218,035317,21.3100060391,S,-157.88896543,W,GATR,2,1*62
2018-12-14 08:56:35.785882 HST-1000 | 192.168.1.25 | $RXHRB,141218,035318,21.3100060391,S,-157.88896543,W,GATR,2,1*6D
2018-12-14 08:56:36.778148 HST-1000 | 192.168.1.25 | $RXHRB,141218,035319,21.3100060391,S,-157.88896543,W,GATR,2,1*6C
2018-12-14 08:56:37.776995 HST-1000 | 192.168.1.25 | $RXHRB,141218,035320,21.3100060391,S,-157.88896543,W,GATR,2,1*66
2018-12-14 08:56:38.782793 HST-1000 | 192.168.1.25 | $RXHRB,141218,035321,21.3100060391,S,-157.88896543,W,GATR,2,1*67
2018-12-14 08:56:39.782870 HST-1000 | 192.168.1.25 | $RXHRB,141218,035322,21.3100060391,S,-157.88896543,W,GATR,2,1*64
2018-12-14 08:56:40.774367 HST-1000 | 192.168.1.25 | $RXHRB,141218,035323,21.3100045187,S,-157.888967244,W,GATR,2,1*50
2018-12-14 08:56:41.790918 HST-1000 | 192.168.1.25 | $RXHRB,141218,035324,21.3100045187,S,-157.888967244,W,GATR,2,1*57
2018-12-14 08:56:42.787779 HST-1000 | 192.168.1.25 | $RXHRB,141218,035325,21.3100060391,S,-157.88896543,W,GATR,2,1*63
2018-12-14 08:56:43.789802 HST-1000 | 192.168.1.25 | $RXHRB,141218,035326,21.3100060391,S,-157.88896543,W,GATR,2,1*60
2018-12-14 08:56:44.773380 HST-1000 | 192.168.1.25 | $RXHRB,141218,035327,21.3100060391,S,-157.88896543,W,GATR,2,1*61
2018-12-14 08:56:45.776906 HST-1000 | 192.168.1.25 | $RXHRB,141218,035328,21.3100060391,S,-157.88896543,W,GATR,2,1*6E
2018-12-14 08:56:46.772877 HST-1000 | 192.168.1.25 | $RXHRB,141218,035329,21.3100060391,S,-157.88896543,W,GATR,2,1*6F
2018-12-14 08:56:47.767524 HST-1000 | 192.168.1.25 | $RXHRB,141218,035330,21.3100060391,S,-157.88896543,W,GATR,2,1*67
2018-12-14 08:56:48.777825 HST-1000 | 192.168.1.25 | $RXHRB,141218,035331,21.3100060391,S,-157.88896543,W,GATR,2,1*66
2018-12-14 08:56:49.776448 HST-1000 | 192.168.1.25 | $RXHRB,141218,035332,21.3100060391,S,-157.88896543,W,GATR,2,1*65
2018-12-14 08:56:50.776702 HST-1000 | 192.168.1.25 | $RXHRB,141218,035333,21.3100060391,S,-157.88896543,W,GATR,2,1*64
2018-12-14 08:56:51.793769 HST-1000 | 192.168.1.25 | $RXHRB,141218,035334,21.3100060391,S,-157.88896543,W,GATR,2,1*63
2018-12-14 08:56:52.786308 HST-1000 | 192.168.1.25 | $RXHRB,141218,035335,21.3100060391,S,-157.88896543,W,GATR,2,1*62
2018-12-14 08:56:53.768659 HST-1000 | 192.168.1.25 | $RXHRB,141218,035336,21.3100060391,S,-157.88896543,W,GATR,2,1*61
